1 1 10
1 2 0.1
1 39 0.1
2 1 0.1
2 2 10
2 3 0.1
2 25 0.1
2 30 0.1
3 2 0.1
3 3 10
3 18 0.1
4 4 10
4 14 0.1
4 18 0.1
5 5 10
5 6 0.1
5 8 10
6 5 0.1
6 6 10
6 7 0.1
6 11 0.1
6 31 0.1
7 6 0.1
7 7 10
7 8 0.1
8 5 0.1
8 7 0.1
8 8 10
8 9 0.1
9 8 0.1
9 9 10
9 39 0.1
10 10 10
10 11 0.1
10 13 0.1
10 32 0.1
11 6 0.1
11 10 0.1
11 11 10
11 12 0.1
12 11 0.1
12 12 10
12 13 0.1
13 10 0.1
13 12 0.1
13 13 10
13 14 0.1
14 4 0.1
14 13 0.1
14 14 10
14 15 0.1
15 14 0.1
15 15 10
15 16 0.1
16 15 0.1
16 16 10
16 17 0.1
16 19 0.1
16 21 0.1
16 24 0.1
17 16 0.1
17 17 10
17 18 0.1
17 27 0.1
18 3 0.1
18 4 0.1
18 17 0.1
18 18 10
19 16 0.1
19 19 10
19 20 0.1
19 33 0.1
20 19 0.1
20 20 10
20 34 0.1
21 16 0.1
21 21 10
21 22 0.1
22 21 0.1
22 22 10
22 23 0.1
22 35 0.1
23 22 0.1
23 23 10
23 24 0.1
23 36 0.1
24 16 0.1
24 23 0.1
24 24 10
25 2 0.1
25 25 10
25 26 0.1
25 37 0.1
26 25 0.1
26 26 10
26 27 0.1
26 28 0.1
26 29 0.1
27 17 0.1
27 26 0.1
27 27 10
28 26 0.1
28 28 10
28 29 0.1
29 26 0.1
29 28 0.1
29 29 10
29 38 0.1
30 2 0.1
30 30 10
31 6 0.1
31 31 10
32 10 0.1
32 32 10
33 19 0.1
33 33 10
34 20 0.1
34 34 10
35 22 0.1
35 35 10
36 23 0.1
36 36 10
37 25 0.1
37 37 10
38 29 0.1
38 38 10
39 1 0.1
39 9 0.1
39 39 10
